Description,Manufacturer,Brand Name,Strength,Label Size,Pack Quantity,Min Price
ACETAMINOPHEN PM TB 25-500MG 50,MAJOR PHARMACEUTICALS CS NLC,,25-500MG,50 EA,1,1.85
ACETAMINOPHEN SU 650MG 12 RECT,PADAGIS US LLC OTC,FEVERALL,650MG,12 EA,1,2.77
ACETAMINOPHEN TB 325MG 1000 RS,TIME CAP LABS INC CS,,325MG,1000 EA,1,12.07
ACETAMINOPHEN TB 325MG 100 RS,TIME CAP LABS INC CS,,325MG,100 EA,1,2.07
ACETAMINOPHEN TB 325MG 10X10UD,MAJOR PHARMACEUTICALS CHLC,,325MG,10X10EA,10,4.2
ACETAMINOPHEN TB 325MG 10X10UD,MAJOR PHARMACEUTICALS NLC,,325MG,10X10EA,10,4.2
ACETAMINOPHEN TB 500MG 1000 ES,MAJOR PHARMACEUTICALS CS CHLC,,500MG,1000 EA,1,14.7
ACETAMINOPHEN TB 500MG 1000 ES,MAJOR PHARMACEUTICALS CS NLC,,500MG,1000 EA,1,14.7
ACETAMINOPHEN TB 500MG 100 ES,MAJOR PHARMACEUTICALS CS CHLC,,500MG,100 EA,1,1.56
ACETAMINOPHEN TB 500MG 100 ES,MAJOR PHARMACEUTICALS CS NLC,,500MG,100 EA,1,1.56
ACETAMINOPHEN TB500MG 100 ES CPLT,MAJOR PHARMACEUTICALS CS CHLC,,500MG,100 EA,1,1.78
ACETAMINOPHEN TB 500MG 50 CPLT,MAJOR PHARMACEUTICALS CS CHLC,,500MG,50 EA,1,1.03
ACETAMINOPHEN TB 500MG 50 CPLT,MAJOR PHARMACEUTICALS CS NLC,,500MG,50 EA,1,1.03
ACETAMIN/PHENYLEPH TB 325-5MG 24 CPLT,MAJOR RUGBY LABS,,5-325MG,24 EA,1,1.19
ACETAMIN SS 160MG/5ML 59ML CHY,MAJOR RUGBY LABS,,160MG/5ML,59 ML,1,2.96
ACETAMIN TB 650MG 100 ER CPLT 8H,TIME CAP LABS INC CS,,650MG,100 EA,1,6.47
ACETAZOLAMIDE ER CP 500MG 100,MICRO LABS USA INC CS,DIAMOX SEQUELS,500MG,100 EA,1,22.07
ACETAZOLAMIDE TB 125MG 100,VIONA PHARMACEUTICALS INC CS,DIAMOX,125MG,100 EA,1,12.17
ACETAZOLAMIDE TB 250MG 100,VIONA PHARMACEUTICALS INC CS,DIAMOX,250MG,100 EA,1,10.97
ACET CHD SS 160MG/5ML 118ML GRAPE,PADAGIS US LLC OTC,,160MG/5ML,118 ML,1,2.17
ACETIC ACID DR 2% 15ML OTIC,TRUPHARMA LLC CS NCBNET,VOSOL,2%,15 ML,1,14.87
ACETYLCYSTEINE AH 20% 25X4ML STR,AMERICAN REGENT INC,MUCOMYST,200MG/ML,25X4ML,1,364.67
ACETYLCYSTEINE AH 20% 3X30ML,PFIZER INJECTABLE SI,MUCOMYST,200MG/ML,3X30ML,3,74.17
ACID GONE ANTACID SS 355ML,MAJOR PHARMACEUTICALS,ACID GONE ANTACID,NOT AVAILABLE,355 ML,1,3.73
ACID GONE ANTACID SS 355ML,MAJOR PHARMACEUTICALS CHLC,ACID GONE ANTACID,NOT AVAILABLE,355 ML,1,3.73
ACID GONE CW 105-160MG 100 ES,MAJOR PHARMACEUTICALS CHLC,GAVISCON,105-160MG,100 EA,1,3.54
ACID GONE CW 105-160MG 100 ES,MAJOR PHARMACEUTICALS NLC,GAVISCON,105-160MG,100 EA,1,3.54
ACIDOPHILUS/PECTIN CP 100,MAJOR RUGBY LAB CS,,NOT AVAILABLE,100 EA,1,2.73
ACITRETIN CP 10MG 30,AMNEAL PHARMACEUTICALS LLC CS,SORIATANE,10MG,30 EA,1,68.17
ACITRETIN CP 17.5MG 30,GLOBAL PHARM IMPAX LABS CS,SORIATANE,17.5MG,30 EA,1,193.67
ACITRETIN CP 25MG 30,GLOBAL PHARM IMPAX LABS CS,SORIATANE,25MG,30 EA,1,111.27
ACNE MEDICATION 10 GL 42.5GM,MAJOR RUGBY LABS CHLC,,10%,42.5 GM,1,2.75
ACNE MEDICATION 10 GL 42.5GM,MAJOR RUGBY LABS NLC,,10%,42.5 GM,1,2.75
ACNE MEDICATION 5 GL 42.5GM,MAJOR RUGBY LAB CS NLC,PANOXYL AQ 5,5%,42.5 GM,1,1.68
ACNE MEDICATION 5 GL 42.5GM,MAJOR RUGBY LABS CS CHLC,PANOXYL AQ 5,5%,42.5 GM,1,1.68
ACNE MEDICATION 5 LT 5% 29.5ML,MAJOR RUGBY LABS,,5%,29.5 ML,1,1.62
ACNE MEDICATION GL 2.5% 60GM,MAJOR RUGBY LABS,,2.5%,60 GM,1,7.68
ACYCLOVIR CP 200MG 100,VIONA PHARMACEUTICALS INC CS,ZOVIRAX,200MG,100 EA,1,6.67
ACYCLOVIR CP 200MG 500,VIONA PHARMACEUTICALS INC CS,ZOVIRAX,200MG,500 EA,1,31.77
ACYCLOVIR CR 5% 5GM,PADAGIS US LLC RX CS,ZOVIRAX,5%,5 GM,1,36.17
ACYCLOVIR OI 5% 15GM,AMNEAL PHARMACEUTICALS LLC CS,ZOVIRAX,5%,15 GM,1,5.77
ACYCLOVIR OI 5% 15GM,TARO PHARMACEUTICALS USA CS,ZOVIRAX,5%,15 GM,1,20.17
ACYCLOVIR OI 5% 30GM,GLENMARK PHARMA INC USA CS,ZOVIRAX,5%,30 GM,1,8.37
ACYCLOVIR SS 200MG/5ML 473ML ORAL,NOVADOZ PHARMACEUTICALS LLC CS,ZOVIRAX,200MG/5ML,473 ML,1,28.07
ACYCLOVIR TB 400MG 100,AVET PHARMA INC CS,ZOVIRAX,400MG,100 EA,1,8.97
ACYCLOVIR TB 400MG 100,CAMBER PHARMA CS,ZOVIRAX,400MG,100 EA,1,7.17
ACYCLOVIR TB 400MG 500,AVET PHARMA INC CS,ZOVIRAX,400MG,500 EA,1,43.87
ACYCLOVIR TB 400MG 500,CAMBER PHARMA CS,ZOVIRAX,400MG,500 EA,1,35.37
ACYCLOVIR TB 800MG 100,CAMBER PHARMA CS,ZOVIRAX,800MG,100 EA,1,12.57
ACYCLOVIR TB 800MG 500,CAMBER PHARMA CS,ZOVIRAX,800MG,500 EA,1,59.37
ADAPALENE CR 0.1% 45GM TOP,PADAGIS US LLC RX CS,DIFFERIN,0.1%,45 GM,1,101.17
ADAPALENE CR 0.1% 45GM TOP,SANDOZ CS,DIFFERIN,0.1%,45 GM,1,111.37
ADAPALENE GL 0.3% 45GM TOP,ALEMBIC PHARMACEUTICALS INC CS,DIFFERIN,0.3%,45 GM,1,13.47
ADAPALENE GL 0.3% 45GM TOP PUMP,ALEMBIC PHARMACEUTICALS INC CS,DIFFERIN,0.3%,45 GM,1,37.47
ADAP/BENZOYL PER GL 0.1-2.5% 45GM,GLENMARK PHARMA INC USA CS,EPIDUO,0.1-2.5%,45 GM,1,16.87
ADAP/BENZOYL PER GL 0.3-2.5% 45GM,PADAGIS US LLC RX CS,EPIDUO FORTE,0.3-2.5%,45 GM,1,27.17
ADVAIR DISKUS IN 100-50MCG 60,GLAXO SMITHKLINE,,100-50MCG,60 EA,1,154.43
ADVAIR DISKUS IN 250-50MCG 60,GLAXO SMITHKLINE,,250-50MCG,60 EA,1,193.82
ADVAIR DISKUS IN 500-50MCG 60,GLAXO SMITHKLINE,,500-50MCG,60 EA,1,262.62
ALBENDAZOLE TB 200MG 2,TEVA PHARMA CS,ALBENZA,200MG,2 EA,1,10.17
ALBUTEROL SUL AH0.083%25X3UD5/PCH,SUN PHARMACEUTICAL CS,PROVENTIL,2.5MG/3 ML (0.083%),25X3ML,25,3.57
ALBUTEROL SUL AH0.083%30X3UD5/PCH,SUN PHARMACEUTICAL CS,PROVENTIL,0.83MG/ML,30X3ML,30,4.27
ALBUTEROL SUL AH0.083%60X3UD5/PCH,SUN PHARMACEUTICAL CS,PROVENTIL,0.83MG/ML,60X3ML,60,8.37
ALBUTEROL SULF AH 0.083% 25X3MLUD,RITEDOSE PHARMACEUTICALS CS,PROVENTIL,0.83MG/ML,25X3ML,25,5.77
ALBUTEROL SULF AH 0.083% 30X3MLUD,RITEDOSE PHARMACEUTICALS CS,PROVENTIL,0.83MG/ML,30X3ML,30,6.87
ALBUTEROL SULF AH 0.083% 60X3MLUD,RITEDOSE PHARMACEUTICALS CS,PROVENTIL,0.83MG/ML,60X3ML,60,13.57
ALBUTEROL SULF AH 0.63MG 25X3MLUD,INGENUS PHARMACEUTICALS LLC CS,,0.63MG/3ML,25X3ML,25,11.07
ALBUTEROL SULF AH 0.63MG 25X3MLUD,MYLAN PHARM CS,ACCUNEB,0.63MG/3ML,25X3ML,25,10.77
ALBUTEROL SULF AH 0.63MG 30X3MLUD,RITEDOSE PHARMACEUTICALS CS,ACCUNEB,0.63MG/3ML,30X3ML,30,20.17
ALBUTEROL SULF AH 1.25MG 25X3MLUD,INGENUS PHARMACEUTICALS LLC CS,,1.25MG/3ML,25X3ML,25,10.07
ALBUTEROL SULF AH 1.25MG 25X3MLUD,MYLAN PHARM CS,ACCUNEB,1.25MG/3ML,25X3ML,25,8.97
ALBUTEROL SULF AH 1.25MG 25X3MLUD,RITEDOSE PHARMACEUTICALS CS,ACCUNEB,1.25MG/3ML,25X3ML,25,12.17
ALBUTEROL SULF AH 1.25MG 30X3MLUD,RITEDOSE PHARMACEUTICALS CS,ACCUNEB,1.25MG/3ML,30X3ML,30,20.27
ALBUTEROL SULF AH 2.5MG30X0.5MLUD,RISING PHARMA HOLDINGS INC CS,,2.5MG/0.5ML,30X0.5ML,30,48.67
ALBUTEROL SULFATE IN 90MCG 18GM,PRASCO LABS CS,VENTOLIN,90MCG,18 GM,1,29.27
ALBUTEROL SULFATE IN 90MCG 6.7GM,HIKMA CS,PROVENTIL HFA,90MCG,6.7 GM,1,9.17
ALBUTEROL SULFATE IN 90MCG 8.5GM,AMPHASTAR ARMSTRONG PHARM CS,PROAIR HFA,90MCG,8.5 GM,1,14.77
ALBUTEROL SULFATE IN 90MCG 8.5GM,LUPIN PHARMA INC CS NCBNET,PROAIR HFA,90MCG,8.5 GM,1,13.07
ALBUTEROL SULFATE IN 90MCG 8.5GM,TEVA PHARMA CS,PROAIR HFA,90MCG,8.5 GM,1,22.77
ALBUTEROL SULFATE TB 2MG 100,RISING PHARMA HOLDINGS INC CS,PROVENTIL,2MG,100 EA,1,38.57
ALBUTEROL SULFATE TB 4MG 100,RISING PHARMA HOLDINGS INC CS,PROVENTIL,4MG,100 EA,1,22.67
ALBUTEROL SULF SR 2MG/5ML 473ML,QUAGEN PHARMA CS,PROVENTIL,2MG/5ML,473 ML,1,13.57
ALBUT/IPRAT AH 2.5-0.5MG/3ML 30UD,CIPLA USA INC CS,DUONEB,2.5-0.5MG/3ML,30X3ML,30,5.77
ALBUT/IPRAT AH2.5-0.5MG/3ML60X3UD,CIPLA USA INC CS,DUONEB,2.5-0.5MG/3ML,60X3ML,60,14.17
ALCOHOL PREPS PA 70% 100 STERILE,MAJOR RUGBY LABS,,70%,100 EA,1,1.91
ALCOHOL PREPS PA 70% 100 STERILE,MAJOR RUGBY LABS CHLC,,70%,100 EA,1,1.91
ALCOHOL PREPS PA 70% 100 STERILE,MAJOR RUGBY LABS NLC,,70%,100 EA,1,1.91
ALENDRONATE SODIUM TB 35MG 1X4UU,CIPLA USA INC CS,FOSAMAX,35MG,4 EA,1,0.97
ALENDRONATE SODIUM TB 70MG 1X4UU,CIPLA USA INC CS,FOSAMAX,70MG,4 EA,1,0.67
ALENDRONATE SODIUM TB 70MG 3X4UU,CIPLA USA INC CS,FOSAMAX,70MG,3X4EA,3,2.17
ALENDRONATE SOD TB 10MG 100,RISING PHARMA HOLDINGS INC CS,FOSAMAX,10MG,100 EA,1,7.37
ALENDRONATE SOD TB 70MG 4UU,AUROBINDO PHARMA USA CS,FOSAMAX,70MG,4 EA,1,3.87
ALENDRONATE SOD TB 70MG 4UU BPK,RISING PHARMA HOLDINGS INC CS,FOSAMAX,70MG,4 EA,1,2.07
ALFUZOSIN HCL TB 10MG 90 ER,RISING PHARMA HOLDINGS INC CS,UROXATRAL,10MG,90 EA,1,5.97
ALISKIREN TB 150MG 30,ENDO USA INC CS,TEKTURNA,150MG,30 EA,1,121.47
ALISKIREN TB 300MG 30,ENDO USA INC CS,TEKTURNA,300MG,30 EA,1,150.47
ALL DAY RELIEF TB 220MG 50,MAJOR RUGBY LABS,ALEVE,220MG,50 EA,1,3.74
ALL DAY RELIEF TB 220MG 50 CPLT,MAJOR RUGBY LABS,ALEVE,220MG,50 EA,1,3.03
ALL DAY RELIEF TB 220MG 90 CPLT,MAJOR RUGBY LABS,,220MG,90 EA,1,5.8
ALLER-CHLOR TB 4MG 1000 4H,MAJOR RUGBY LABS,CHLOR-TRIMETON,4MG,1000 EA,1,4.35
ALLERGY RELIEF TB 10MG 100 24H,CAMBER PHARMA CS,ZYRTEC,10MG,100 EA,1,4.37
ALLERGY RELIEF TB 10MG 300 24H,OHM LABORATORIES INC CS,ZYRTEC,10MG,300 EA,1,10.57
ALLERGY RELIEF TB 10MG 500 24H,CAMBER PHARMA CS,ZYRTEC,10MG,500 EA,1,16.77
ALLERGY RELIEF TB 10MG 500 24H,TIME CAP LABS INC CS,ZYRTEC,10MG,500 EA,1,9.27
ALLERGY RELIEF TB180MG 100 24H ND,CAMBER PHARMA CS,ALLEGRA,180MG,100 EA,1,18.87
ALLERGY RELIEF TB 180MG 30 24H ND,CAMBER PHARMA CS,ALLEGRA,180MG,30 EA,1,7.97
ALLERGY RELIEF TB180MG 500 24H ND,CAMBER PHARMA CS,ALLEGRA,180MG,500 EA,1,98.97
ALLERGY RELIEF TB 5MG 100 24H,TIME CAP LABS INC CS,ZYRTEC,5MG,100 EA,1,3.07
ALLERGY TB 4MG 24,MAJOR PHARMACEUTICALS,CHLOR-TRIMENTON,4MG,24 EA,1,0.6
ALLOPURINOL TB 100MG 100,CAMBER PHARMA CS,ZYLOPRIM,100MG,100 EA,1,2.57
ALLOPURINOL TB 100MG 1000,CAMBER PHARMA CS,ZYLOPRIM,100MG,1000 EA,1,16.07
ALLOPURINOL TB 100MG 1000,SUN PHARMACEUTICAL CS,ZYLOPRIM,100MG,1000 EA,1,70.37
ALLOPURINOL TB 200MG 90,LEADING PHARMA LLC CS NCB,ZYLOPRIM,200MG,90 EA,1,433.97
ALLOPURINOL TB 300MG 100,CAMBER PHARMA CS,ZYLOPRIM,300MG,100 EA,1,4.87
ALLOPURINOL TB 300MG 1000,SUN PHARMACEUTICAL CS,ZYLOPRIM,300MG,1000 EA,1,148.97
ALLOPURINOL TB 300MG 500,CAMBER PHARMA CS,ZYLOPRIM,300MG,500 EA,1,19.17
ALMACONE-2 SS 400-400-40/5 355ML,MAJOR RUGBY LAB CS NLC,MYLANTA,400-400-40MG/5ML,355 ML,1,2.17
ALMACONE-2 SS 400-400-40/5 355ML,MAJOR RUGBY LABS CS CHLC,MYLANTA,400-400-40MG/5ML,355 ML,1,2.17
ALMOTRIPTAN MALATE TB 12.5MG2X6UD,MYLAN PHARM CS,AXERT,12.5MG,2X6EA,2,126.17
ALMOTRIPTAN MALATE TB 6.25MG 6UD,MYLAN PHARM CS,AXERT,6.25MG,6 EA,1,81.17
ALOGLIPTIN/MET TB 12.5-1000MG 60,PADAGIS US LLC RX CS,KAZANO,12.5-1000MG,60 EA,1,131.67
ALOGLIPTIN/MET TB 12.5-500MG 60,PADAGIS US LLC RX CS,KAZANO,12.5-500MG,60 EA,1,107.07
ALOGLIPTIN/PIO TB 12.5-30MG 30,PADAGIS US LLC RX CS,OSENI,12.5-30MG,30 EA,1,133.77
ALOGLIPTIN/PIO TB 25-15MG 30,PADAGIS US LLC RX CS,OSENI,25-15MG,30 EA,1,113.57
ALOGLIPTIN/PIO TB 25-30MG 30,PADAGIS US LLC RX CS,OSENI,25-30MG,30 EA,1,135.17
ALOGLIPTIN/PIO TB 25-45MG 30,PADAGIS US LLC RX CS,OSENI,25-45MG,30 EA,1,133.27
ALOGLIPTIN TB 12.5MG 30,PADAGIS US LLC RX CS,NESINA,12.5MG,30 EA,1,127.37
ALOGLIPTIN TB 25MG 30,PADAGIS US LLC RX CS,NESINA,25MG,30 EA,1,110.85
ALOGLIPTIN TB 6.25MG 30,PADAGIS US LLC RX CS,NESINA,6.25MG,30 EA,1,133.77
ALOSETRON HCL TB 0.5MG 30,LIFESTAR PHARMA LLC CS,LOTRONEX,0.5MG,30 EA,1,90.07
ALOSETRON HCL TB 1MG 30,LIFESTAR PHARMA LLC CS,LOTRONEX,1MG,30 EA,1,162.17
ALPHAGAN P DR 0.1% 5ML OPTH,ABBVIE US LLC 2,,0.1%,5 ML,1,192.5
ALUMINUM HYDROX SS 320/5 473ML,MAJOR RUGBY LABS,AMPHOJEL,320MG/5ML,473 ML,1,5.54
AMANTADINE HCL CP 100MG 100,ALEMBIC PHARMACEUTICALS INC CS,SYMMETREL,100MG,100 EA,1,7.47
AMANTADINE HCL CP 100MG 500,ALEMBIC PHARMACEUTICALS INC CS,SYMMETREL,100MG,500 EA,1,42.07
AMANTADINE HCL TB 100MG 100,STRIDES PHARMA INC CS NCBNET,SYMMETREL,100MG,100 EA,1,49.37
AMANTADINE HCL TB 100MG 100,UPSHER SMITH LABS LLC CS,SYMMETREL,100MG,100 EA,1,31.67
AMANTADINE HCL TB 100MG 500,UPSHER SMITH LABS LLC CS,SYMMETREL,100MG,500 EA,1,137.27
AMIKACIN SD 250MG/ML 10X2ML,AVET PHARMACEUTICALS INC,AMIKACIN SULFATE,250MG/ML,10X2ML,10,45.17
AMILORIDE HCL TB 5MG 100,ENDO USA INC CS,MIDAMOR,5MG,100 EA,1,40.77
AMILORIDE HCL TB 5MG 100,PADAGIS US LLC RX CS,MIDAMOR,5MG,100 EA,1,22.77
AMILORIDE/HCTZ TB 5-50MG 100,TEVA PHARMA CS,MODURETIC,5-50MG,100 EA,1,37.87
AMINOCAPROIC ACID TB 1000MG 30,BIOCON PHARMA INC CS,AMICAR,1000MG,30 EA,1,423.44
AMINOCAPROIC ACID TB 1000MG 30,HIKMA CS,,1000MG,30 EA,1,176.47
AMINOCAPROIC ACID TB 500MG 30,AMNEAL PHARMACEUTICALS LLC CS,AMICAR,500MG,30 EA,1,106.37
AMIODARONE HCL TB 100MG 30,DR REDDYS LABS INC CS,CORDARONE,100MG,30 EA,1,10.97
AMIODARONE HCL TB 100MG 30,TARO PHARMACEUTICALS USA CS,PACERONE,100MG,30 EA,1,35.27
AMIODARONE HCL TB 200MG 500,AUROBINDO PHARMA USA CS,CORDARONE,200MG,500 EA,1,38.97
AMIODARONE HCL TB 200MG 60,TARO PHARMACEUTICALS USA CS,CORDARONE,200MG,60 EA,1,5.67
AMIODARONE HCL TB 200MG 60,UNICHEM PHARMACEUTICAL USA CS,CORDARONE,200MG,60 EA,1,5.17
AMIODARONE HCL TB 400MG 30,ZYDUS PHARMA USA INC CS,,400MG,30 EA,1,11.97
AMITIZA GC 24MCG 60 SFG,TAKEDA PHARMACEUTICALS AMERICA,,24MCG,60 EA,1,367.39
AMITRIPTYLINE HCL TB 100MG 100,SANDOZ CS,ELAVIL,100MG,100 EA,1,13.17
AMITRIPTYLINE HCL TB 10MG 100,SANDOZ CS,ELAVIL,10MG,100 EA,1,2.67
AMITRIPTYLINE HCL TB 10MG 1000,SANDOZ CS,ELAVIL,10MG,1000 EA,1,17.07
AMITRIPTYLINE HCL TB 150MG 100,SANDOZ CS,ELAVIL,150MG,100 EA,1,21.37
AMITRIPTYLINE HCL TB 150MG 100,SUN PHARMACEUTICAL CS,ELAVIL,150MG,100 EA,1,33.07
AMITRIPTYLINE HCL TB 25MG 100,SANDOZ CS,ELAVIL,25MG,100 EA,1,3.87
AMITRIPTYLINE HCL TB 25MG 1000,SANDOZ CS,ELAVIL,25MG,1000 EA,1,30.37
AMITRIPTYLINE HCL TB 50MG 100,SANDOZ CS,ELAVIL,50MG,100 EA,1,6.77
AMITRIPTYLINE HCL TB 50MG 1000,SANDOZ CS,ELAVIL,50MG,1000 EA,1,55.67
AMITRIPTYLINE HCL TB 75MG 100,SANDOZ CS,ELAVIL,75MG,100 EA,1,10.17
AMLOD/ATORVST TB 10-10MG 30,APOTEX CORP CS,CADUET,10-10MG,30 EA,1,21.77
AMLOD/ATORVST TB 10-20MG 30,APOTEX CORP CS,CADUET,10-20MG,30 EA,1,21.07
AMLOD/ATORVST TB 10-40MG 30,APOTEX CORP CS,CADUET,10-40MG,30 EA,1,36.07
AMLOD/ATORVST TB 10-80MG 30,APOTEX CORP CS,CADUET,10-80MG,30 EA,1,45.27
AMLOD/ATORVST TB 5-10MG 30,APOTEX CORP CS,CADUET,5-10MG,30 EA,1,28.77
AMLOD/ATORVST TB 5-20MG 30,APOTEX CORP CS,CADUET,5-20MG,30 EA,1,23.67
AMLOD/ATORVST TB 5-40MG 30,APOTEX CORP CS,CADUET,5-40MG,30 EA,1,41.67
AMLOD/ATORVST TB 5-80MG 30,APOTEX CORP CS,CADUET,5-80MG,30 EA,1,41.57
AMLODIPINE/BENAZ CP 10-20MG 100,DR REDDYS LABS INC CS,LOTREL,10-20MG,100 EA,1,7.47
AMLODIPINE/BENAZ CP 10-20MG 100,LUPIN PHARMA INC CS NCBNET,LOTREL,10-20MG,100 EA,1,8.57
AMLODIPINE/BENAZ CP 10-20MG 500,DR REDDYS LABS INC CS,LOTREL,10-20MG,500 EA,1,41.77
AMLODIPINE/BENAZ CP 10-40MG 100,DR REDDYS LABS INC CS,LOTREL,10-40MG,100 EA,1,10.97
AMLODIPINE/BENAZ CP 10-40MG 100,LUPIN PHARMA INC CS NCBNET,LOTREL,10-40MG,100 EA,1,23.97
AMLODIPINE/BENAZ CP 10-40MG 100,RISING PHARMA HOLDINGS INC CS,LOTREL,10-40MG,100 EA,1,17.87
AMLODIPINE/BENAZ CP 2.5-10MG 100,DR REDDYS LABS INC CS,LOTREL,2.5-10MG,100 EA,1,8.17
AMLODIPINE/BENAZ CP 5-10MG 100,DR REDDYS LABS INC CS,LOTREL,5-10MG,100 EA,1,6.17
AMLODIPINE/BENAZ CP 5-10MG 100,LUPIN PHARMA INC CS NCBNET,LOTREL,5-10MG,100 EA,1,6.67
AMLODIPINE/BENAZ CP 5-10MG 500,DR REDDYS LABS INC CS,LOTREL,5-10MG,500 EA,1,28.57
AMLODIPINE/BENAZ CP 5-20MG 100,DR REDDYS LABS INC CS,LOTREL,5-20MG,100 EA,1,6.57
AMLODIPINE/BENAZ CP 5-20MG 100,LUPIN PHARMA INC CS NCBNET,LOTREL,5-20MG,100 EA,1,7.47
AMLODIPINE/BENAZ CP 5-20MG 500,DR REDDYS LABS INC CS,LOTREL,5-20MG,500 EA,1,40.47
AMLODIPINE/BENAZ CP 5-40MG 100,DR REDDYS LABS INC CS,LOTREL,5-40MG,100 EA,1,11.57
AMLODIPINE BESYLATE TB 10MG 1000,ASCEND LABORATORIES CS,NORVASC,10MG,1000 EA,1,17.37
AMLODIPINE BESYLATE TB 10MG 1000,CIPLA USA INC CS,NORVASC,10MG,1000 EA,1,10.87
AMLODIPINE BESYLATE TB 10MG 500,ASCEND LABORATORIES CS,NORVASC,10MG,500 EA,1,10.47
AMLODIPINE BESYLATE TB 10MG 90,CIPLA USA INC CS,NORVASC,10MG,90 EA,1,1.37
AMLODIPINE BESYLATE TB 2.5MG 1000,ASCEND LABORATORIES CS,NORVASC,2.5MG,1000 EA,1,7.97
AMLODIPINE BESYLATE TB 2.5MG 1000,CIPLA USA INC CS,NORVASC,2.5MG,1000 EA,1,8.27
AMLODIPINE BESYLATE TB 2.5MG 500,ASCEND LABORATORIES CS,NORVASC,2.5MG,500 EA,1,4.67
AMLODIPINE BESYLATE TB 2.5MG 90,CIPLA USA INC CS,NORVASC,2.5MG,90 EA,1,1.27
AMLODIPINE BESYLATE TB 5MG 1000,ASCEND LABORATORIES CS,NORVASC,5MG,1000 EA,1,12.87
AMLODIPINE BESYLATE TB 5MG 1000,CIPLA USA INC CS,NORVASC,5MG,1000 EA,1,8.37
AMLODIPINE BESYLATE TB 5MG 500,ASCEND LABORATORIES CS,NORVASC,5MG,500 EA,1,8.17
AMLODIPINE BESYLATE TB 5MG 90,CIPLA USA INC CS,NORVASC,5MG,90 EA,1,1.37
AMLODIPINE/VALS TB 10-160MG 30,MACLEODS PHARMA USA INC CS,EXFORGE,10-160MG,30 EA,1,10.07
AMLODIPINE/VALS TB 10-160MG 30,MYLAN PHARM CS,EXFORGE,10-160MG,30 EA,1,12.97
AMLODIPINE/VALS TB 10-320MG 30,MACLEODS PHARMA USA INC CS,EXFORGE,10-320MG,30 EA,1,11.97
AMLODIPINE/VALS TB 10-320MG 30,MYLAN PHARM CS,EXFORGE,10-320MG,30 EA,1,16.57
AMLODIPINE/VALS TB 5-160MG 30,MACLEODS PHARMA USA INC CS,EXFORGE,5-160MG,30 EA,1,8.17
AMLODIPINE/VALS TB 5-160MG 30,MYLAN PHARM CS,EXFORGE,5-160MG,30 EA,1,11.07
AMLODIPINE/VALS TB 5-320MG 30,MACLEODS PHARMA USA INC CS,EXFORGE,5-320MG,30 EA,1,10.27
AMLODIPINE/VALS TB 5-320MG 30,MYLAN PHARM CS,EXFORGE,5-320MG,30 EA,1,13.57
AMLOD/OLME/HCTZ TB10-40-12.5MG 30,ENDO USA INC CS,TRIBENZOR,10-40-12.5MG,30 EA,1,31.67
AMLOD/OLME/HCTZ TB10-40-12.5MG 90,ENDO USA INC CS,TRIBENZOR,10-40-12.5MG,90 EA,1,81.07
AMLOD/OLME/HCTZ TB 10-40-25MG 30,ENDO USA INC CS,TRIBENZOR,10-40-25MG,30 EA,1,30.77
