count,mean,std,min,25%,50%,75%,max,delta,id,wac,awp,ndc_formatted,price,unit_price,description,product_size,manufacturer_name,brand,strength
7.0,23.437142857142856,2.1506178514225036,18.56,24.25,24.25,24.25,24.25,5.690000000000001,43840,51.78,64.73,59651-0551-01,18.56,0.19,Ampicillin Cap 500 MG,100,AUROBINDO PHARMA,Omnipen,500MG
7.0,18.4,2.6191601707417593,15.6,15.6,20.5,20.5,20.5,4.9,17847,15.0,0.0,00487-9501-60,20.5,6.83,Albuterol Sulfate Soln Nebu 0.083% (2.5 MG/3ML),3 ML X 60,NEPHRON PHARMACEUTICALS CORP.,Proventil,(2.5 MG/3ML)0.083%
7.0,31.639999999999993,1.5874507866387553,31.04,31.04,31.04,31.04,35.24,4.200000000000003,46818,153.0,375.0,33342-0117-10,35.24,0.39,Candesartan Cilexetil Tab 32 MG,90,MACLEODS PHARMACEUTICALS,Atacand,32MG
7.0,11.84142857142857,1.538315405147555,11.26,11.26,11.26,11.26,15.33,4.07,47347,39.9,403.23,23155-0832-10,15.33,0.02,Hydralazine HCl Tab 10 MG,1000,AVET PHARMACEUTICALS,Apresoline,10MG
2.0,3.985,2.8072139213105936,2.0,2.9924999999999997,3.985,4.9775,5.97,3.9699999999999998,46775,4.99,9.99,81533-0200-15,5.97,0.14,Capsaid ES Arthritis Relief 0.1 %,42.5 GM,NOBLE OTC,Zostrix,0.1%
7.0,38.22571428571429,2.1006733614316517,35.980000000000004,35.980000000000004,39.91,39.91,39.91,3.9299999999999926,48804,150.0,0.0,13668-0268-10,39.91,0.04,Carbamazepine Tab 200 MG,1000,TORRENT PHARMACEUTICALS,Tegretol,200MG
7.0,18.125714285714288,1.4173667737846019,17.59,17.59,17.59,17.59,21.34,3.75,47456,81.25,97.5,71288-0404-02,21.34,21.34,Heparin Sodium (Porcine) Inj 10000 Unit/ML,1 ML X 25,MEITHEAL PHARMACEUTICALS,Heparin,10000UNIT/ML
7.0,14.547142857142859,1.5848524041238483,12.9,12.9,15.52,15.52,16.57,3.67,49336,40.5,850.0,42385-0977-11,16.57,0.02,Metformin HCl Tab ER 24HR 500 MG,1000,LAURUS LABS PRIVATE LIMITED,Glucophage XR,500MG
7.0,7.742857142857143,1.6890403023187877,6.15,6.15,7.25,9.5,9.5,3.3499999999999996,47802,90.0,0.0,13668-0081-05,7.25,0.01,Montelukast Sodium Tab 10 MG (Base Equiv),500,TORRENT PHARMACEUTICALS,Singulair,10MG
4.0,34.2725,1.5450000000000017,33.5,33.5,33.5,34.2725,36.59,3.0900000000000034,45422,60.0,2260.4,60219-1144-06,36.59,0.61,Darunavir Tab 600 MG,60,AMNEAL PHARMACEUTICALS,Prezista,600MG
7.0,26.722857142857144,1.092317326996667,26.31,26.31,26.31,26.31,29.2,2.8900000000000006,18490,785.6,5594.7,62175-0205-43,29.2,0.03,Montelukast Sodium Chew Tab 5 MG (Base Equiv),1000,KREMERS URBAN,Singulair,5MG
7.0,7.972857142857144,1.2187112631206558,6.67,6.67,8.950000000000001,8.950000000000001,8.950000000000001,2.280000000000001,19810,73.33,4326.22,31722-0738-05,8.950000000000001,0.02,Donepezil Hydrochloride Tab 10 MG,500,CAMBER PHARMACEUTICALS,Aricept,10MG
7.0,28.582857142857147,1.1438781153851767,27.36,27.36,29.5,29.5,29.5,2.1400000000000006,47881,257.25,4164.0,70710-1698-00,29.5,0.03,Venlafaxine HCl Cap ER 24HR 37.5 MG (Base Equivalent),1000,ZYDUS PHARMACEUTICALS (USA),Effexor XR,37.5MG
7.0,5.8428571428571425,0.9431456989902511,4.5,5.2,6.5,6.5,6.5,2.0,47450,31.65,532.4,42385-0972-11,6.5,0.01,Gabapentin Cap 100 MG,1000,LAURUS LABS PRIVATE LIMITED,Neurontin,100MG
7.0,6.932857142857142,1.031628393781958,5.83,5.83,7.76,7.76,7.76,1.9299999999999997,49446,40.82,48.98,00574-0792-01,7.76,0.08,Pilocarpine HCl Tab 5 MG,100,PADAGIS,Salagen,5MG
7.0,15.937142857142858,0.6803360514166092,15.68,15.68,15.68,15.68,17.48,1.8000000000000007,18789,83.33,4472.5,13668-0182-05,17.48,0.03,Rosuvastatin Calcium Tab 40 MG,500,TORRENT PHARMACEUTICALS,Crestor,40MG
7.0,5.527142857142857,0.6274210251953174,5.29,5.29,5.29,5.29,6.95,1.6600000000000001,45618,37.54,187.65,33342-0064-10,6.95,0.08,Valsartan Tab 160 MG,90,MACLEODS PHARMACEUTICALS,Diovan,160MG
7.0,17.852857142857143,0.8766168734727504,17.150000000000002,17.150000000000002,17.150000000000002,18.79,18.79,1.639999999999997,45461,47.48,56.97,16103-0387-11,18.79,0.02,Meclizine HCl Chew Tab 25 MG,1000,PHARBEST PHARMACEUTICALS,Travel-Ease,25MG
2.0,15.055,1.039446968344224,14.32,14.6875,15.055,15.4225,15.79,1.4699999999999989,47459,212.5,255.0,71288-0026-75,15.79,15.79,Vancomycin HCl For IV Soln 10 GM (Base Equivalent),1,MEITHEAL PHARMACEUTICALS,Vancocin,10GM
7.0,12.950000000000003,0.7483314773547886,12.15,12.15,13.55,13.55,13.55,1.4000000000000004,48025,98.0,230.03,70700-0327-98,13.55,13.55,Ganirelix Acetate Soln Prefilled Syringe 250 MCG/0.5ML,0.5 ML,XIROMED,Ganirelix Acetate,250MCG/0.5ML
7.0,208.72714285714287,0.7269505780018016,207.95,207.95,209.31,209.31,209.31,1.3600000000000136,41039,527.91,633.49,45802-0711-91,209.31,34.88,Zolmitriptan Nasal Spray 5 MG/Spray Unit,6,PADAGIS,Zomig ZMT,5MG
7.0,5.16857142857143,0.4724555912615339,4.99,4.99,4.99,4.99,6.24,1.25,45622,6.11,7.33,00904-6312-56,6.24,0.07,Cough DM 30 MG/5ML,89 ML,MAJOR PHARMACEUTICALS,Delsym,30MG/5ML
7.0,35.50857142857143,0.5879747322073344,34.88,34.88,35.980000000000004,35.980000000000004,35.980000000000004,1.1000000000000014,46499,23.55,28.26,00409-4888-10,35.980000000000004,3.6,Sodium Chloride Preservative Free (PF) Inj 0.9%,10 ML X 25,HOSPIRA,BD PosiFlush,0.9%
7.0,5.384285714285714,0.3552866046286737,5.25,5.25,5.25,5.25,6.19,0.9400000000000004,47362,49.56,59.47,00054-4183-25,6.19,0.06,Dexamethasone Tab 2 MG,100,HIKMA PHARMACEUTICALS USA,Decadron,2MG
7.0,7.917142857142857,0.42761798705987897,7.46,7.46,8.26,8.26,8.26,0.7999999999999998,18712,125.0,845.0,43547-0288-50,8.26,0.02,Bupropion HCl Tab ER 12HR 100 MG,500,SOLCO HEALTHCARE,Wellbutrin SR,100MG
7.0,1.6828571428571428,0.2570158416462745,1.1,1.78,1.78,1.78,1.78,0.6799999999999999,45120,9.0,0.0,13668-0079-90,1.1,0.01,Montelukast Sodium Chew Tab 4 MG (Base Equiv),90,TORRENT PHARMACEUTICALS,Singulair,4MG
7.0,7.084285714285715,0.24945655218609006,6.99,6.99,6.99,6.99,7.65,0.6600000000000001,19496,14.2,32.35,64980-0514-01,7.65,0.77,Timolol Maleate Ophth Soln 0.5%,10 ML,RISING PHARMACEUTICALS,Timoptic,0.5%
7.0,42.521428571428565,0.3474396144861509,42.15,42.15,42.8,42.8,42.8,0.6499999999999986,17940,280.61,350.76,45802-0637-32,42.8,0.86,Clobetasol Propionate Emulsion Foam 0.05%,50 GM,PADAGIS,Olux E,0.05%
7.0,8.235714285714284,0.20032117069489017,8.16,8.16,8.16,8.16,8.69,0.5299999999999994,47579,75.0,486.02,70700-0159-01,8.69,0.09,Midodrine HCl Tab 10 MG,100,XIROMED,Promatine,10MG
7.0,43.261428571428574,0.27260646675067185,42.97,42.97,43.48,43.48,43.48,0.509999999999998,38174,150.5,540.65,00378-6611-93,43.48,1.45,Amnesteem 10 MG,30,MYLAN,Absorica,10MG
7.0,31.055714285714288,0.17386365758424482,30.99,30.99,30.99,30.99,31.45,0.46000000000000085,36312,142.5,178.5,00487-9601-30,31.45,15.72,Budesonide Inhalation Susp 0.25 MG/2ML,2 ML X 30,NEPHRON PHARMACEUTICALS CORP.,Pulmicort,0.25MG/2ML
7.0,2.7399999999999998,0.22449944320643644,2.5,2.5,2.92,2.92,2.92,0.41999999999999993,48893,17.17,20.6,76282-0704-45,2.92,0.29,Oseltamivir Phosphate Cap 75 MG (Base Equiv),10,EXELAN PHARMACEUTICALS,Tamiflu,75MG
7.0,15.507142857142858,0.15118578920369102,15.45,15.45,15.45,15.45,15.85,0.40000000000000036,43328,85.5,0.0,51672-1381-05,15.85,0.45,Clindamycin Phosphate-Benzoyl Peroxide Gel 1-5%,35 GM,SUN PHARMACEUTICALS,Benzaclin,1-5%
7.0,1.6771428571428573,0.16570196998570313,1.5,1.5,1.81,1.81,1.81,0.31000000000000005,20890,26.0,141.8,31722-0631-31,1.81,0.18,Oseltamivir Phosphate Cap 45 MG (Base Equiv),10,CAMBER PHARMACEUTICALS,Tamiflu,45MG
7.0,4.1657142857142855,0.15501152030920617,4.0,4.0,4.29,4.29,4.29,0.29000000000000004,19392,26.0,141.8,31722-0631-31,4.29,0.43,Oseltamivir Phosphate Cap 45 MG (Base Equiv),10,CAMBER PHARMACEUTICALS,Tamiflu,45MG
7.0,2.144285714285714,0.14432107063270905,1.99,1.99,2.26,2.26,2.26,0.2699999999999998,46455,7.7,256.35,23155-0759-09,2.26,0.03,Sertraline HCl Tab 100 MG,90,AVET PHARMACEUTICALS,Zoloft,100MG
4.0,1.9299999999999997,0.07999999999999996,1.89,1.89,1.89,1.93,2.05,0.15999999999999992,31992,73.5,420.0,13668-0086-30,2.05,0.07,Olanzapine Orally Disintegrating Tab 5 MG,30,TORRENT PHARMACEUTICALS,Zyprexa Zydis,5MG
7.0,257.38999999999993,6.139790967464725e-14,257.39,257.39,257.39,257.39,257.39,0.0,45752,324.48,387.88,70461-0654-03,257.39,257.39,Flucelvax 0.5 ML,0.5 ML X 10,SEQIRUS,,0.5ML
7.0,7.230000000000002,1.9186846773327266e-15,7.23,7.23,7.23,7.23,7.23,0.0,45740,15.32,19.15,00113-0443-01,7.23,0.43,GoodSense Nasal Allergy Spray 55 MCG/ACT,16.9 ML,PERRIGO,Kenalog,55MCG/ACT
7.0,2.19,0.0,2.19,2.19,2.19,2.19,2.19,0.0,45984,10.25,159.8,62756-0139-02,2.19,0.02,Gabapentin Cap 400 MG,100,SUN PHARMACEUTICALS,Neurontin,400MG
3.0,6.09,0.0,6.09,6.09,6.09,6.09,6.09,0.0,46036,22.25,34.3,45802-0221-11,6.09,0.2,Fluticasone Propionate Oint 0.005%,30 GM,PADAGIS,Cutivate,0.005%
7.0,29.75,0.0,29.75,29.75,29.75,29.75,29.75,0.0,45793,306.77,410.4,00054-0077-29,29.75,0.06,Torsemide Tab 20 MG,500,HIKMA PHARMACEUTICALS USA,Demadex,20MG
7.0,16.45,0.0,16.45,16.45,16.45,16.45,16.45,0.0,45791,53.89,0.0,62559-0250-01,16.45,0.16,Etodolac Cap 200 MG,100,ANI  PHARMACEUTICALS,Lodine,200MG
7.0,8.06,0.0,8.06,8.06,8.06,8.06,8.06,0.0,46032,19.11,33.3,45802-0060-70,8.06,8.06,Bacitracin Oint 500 Unit/GM,1 X 144,PADAGIS,Bacitraycin Plus,500UNIT/GM
7.0,14.760000000000002,1.9186846773327266e-15,14.76,14.76,14.76,14.76,14.76,0.0,45777,190.43,238.04,72205-0084-30,14.76,0.49,Tiagabine HCl Tab 2 MG,30,NOVADOZ PHARMACEUTICALS,Gabitril,2MG
3.0,0.91,0.0,0.91,0.91,0.91,0.91,0.91,0.0,45997,0.93,1.12,57896-0441-26,0.91,0.04,Bisacodyl EC 5 MG,25,GERI-CARE,Dulcolax,5MG
3.0,2.3000000000000003,0.0,2.3000000000000003,2.3000000000000003,2.3000000000000003,2.3000000000000003,2.3000000000000003,0.0,45993,3.87,4.64,57896-0884-18,2.3000000000000003,0.01,Melatonin Tab 1 MG,180,GERI-CARE,Melatonin,1MG
7.0,9.99,0.0,9.99,9.99,9.99,9.99,9.99,0.0,45772,62.5,75.0,72205-0120-25,9.99,2.0,Levetiracetam Inj 500 MG/5ML (100 MG/ML),5 ML X 25,NOVADOZ PHARMACEUTICALS,Keppra,500MG/5ML
3.0,7.87,0.0,7.87,7.87,7.87,7.87,7.87,0.0,46004,0.0,0.0,10048-0613-89,7.87,0.09,,90 X 0,False,,
4.0,79.5,0.0,79.5,79.5,79.5,79.5,79.5,0.0,46029,443.16,615.49,33342-0447-11,79.5,0.8,Pyrazinamide Tab 500 MG,100,MACLEODS PHARMACEUTICALS,Pyrazinamide,500MG
7.0,2.06,0.0,2.06,2.06,2.06,2.06,2.06,0.0,45983,13.8,116.0,31722-0067-60,2.06,0.03,Bupropion HCl Tab ER 12HR 150 MG,60,CAMBER PHARMACEUTICALS,Wellbutrin SR,150MG
1.0,6.18,,6.18,6.18,6.18,6.18,6.18,0.0,45748,55.8,151.09,23155-0048-01,6.18,0.06,Felodipine Tab ER 24HR 2.5 MG,100,AVET PHARMACEUTICALS,Plendil,2.5MG
7.0,153.77,0.0,153.77,153.77,153.77,153.77,153.77,0.0,45754,215.95,257.64,33332-0024-03,153.77,153.77,Afluria Preservative Free 0.5 ML,0.5 ML X 10,SEQIRUS,Afluria,0.5ML
7.0,603.0,0.0,603.0,603.0,603.0,603.0,603.0,0.0,45751,733.62,878.84,70461-0024-03,603.0,603.0,Fluad 0.5 ML,0.5 ML X 10,SEQIRUS,Fluad,0.5ML
7.0,155.97,0.0,155.97,155.97,155.97,155.97,155.97,0.0,45755,199.62,238.04,33332-0124-10,155.97,31.19,Afluria MDV .,5 ML,SEQIRUS,Afluria MDV,.
7.0,16.69,0.0,16.69,16.69,16.69,16.69,16.69,0.0,45821,117.55,141.06,44523-0560-12,16.69,0.05,Sulfacetamide Sodium w/ Sulfur Cleanser 10-5%,340 GM,BIOCOMP PHARMA,Prascion Cleanser,10-5%
4.0,1.7,0.0,1.7,1.7,1.7,1.7,1.7,0.0,45982,12.0,101.34,31722-0066-60,1.7,0.03,Bupropion HCl Tab ER 12HR 100 MG,60,CAMBER PHARMACEUTICALS,Wellbutrin SR,100MG
7.0,23.650000000000002,3.837369354665453e-15,23.65,23.65,23.65,23.65,23.65,0.0,45896,74.5,0.0,59651-0305-01,23.65,0.24,Chlorzoxazone Tab 375 MG,100,AUROBINDO PHARMA,Lorzone,375MG
7.0,116.91999999999999,1.5349477418661813e-14,116.92,116.92,116.92,116.92,116.92,0.0,45818,370.01,444.02,44523-0535-02,116.92,2.05,Sulfacetamide Sodium w/ Sulfur Cream 10-2%,57 GM,BIOCOMP PHARMA,Avar-E LS,10-2%
7.0,12.370000000000001,1.9186846773327266e-15,12.37,12.37,12.37,12.37,12.37,0.0,45823,58.15,69.78,44523-0560-06,12.37,0.07,Sulfacetamide Sodium w/ Sulfur Cleanser 10-5%,170 GM,BIOCOMP PHARMA,Prascion Cleanser,10-5%
7.0,9.15,0.0,9.15,9.15,9.15,9.15,9.15,0.0,45825,63.26,337.64,59651-0795-01,9.15,0.09,Nitrofurantoin Macrocrystalline Cap 100 MG,100,AUROBINDO PHARMA,Macrodantin,100MG
7.0,12.450000000000001,1.9186846773327266e-15,12.45,12.45,12.45,12.45,12.45,0.0,45834,180.0,1605.0,24689-0792-10,12.45,0.01,Terazosin HCl Cap 1 MG (Base Equivalent),1000,APNAR PHARMA,Hytrin,1MG
4.0,146.25,0.0,146.25,146.25,146.25,146.25,146.25,0.0,45867,322.01,1314.83,23155-0142-01,146.25,1.46,Doxycycline Hyclate Tab Delayed Release 100 MG,100,AVET PHARMACEUTICALS,Doryx,100MG
7.0,9.5,0.0,9.5,9.5,9.5,9.5,9.5,0.0,45868,65.0,144.97,23155-0894-06,9.5,0.16,Topiramate Sprinkle Cap 15 MG,60,AVET PHARMACEUTICALS,Topamax Sprinkle,15MG
7.0,7.519999999999998,1.9186846773327266e-15,7.52,7.52,7.52,7.52,7.52,0.0,45869,45.6,322.19,23155-0856-76,7.52,0.25,Potassium Chloride Powder Packet 20 mEq,30,AVET PHARMACEUTICALS,Klor-Con,20MEQ
7.0,3.4600000000000004,4.796711693331816e-16,3.46,3.46,3.46,3.46,3.46,0.0,45870,40.0,98.89,23155-0116-01,3.46,0.03,Glipizide-Metformin HCl Tab 2.5-500 MG,100,AVET PHARMACEUTICALS,Metaglip,2.5-500MG
6.0,87.56,0.0,87.56,87.56,87.56,87.56,87.56,0.0,46038,424.55,530.68,45802-0660-33,87.56,0.88,Clindamycin Phosphate Foam 1%,100 GM,PADAGIS,Cleocin T,1%
1.0,235.5,,235.5,235.5,235.5,235.5,235.5,0.0,45809,293.24,366.55,44523-0182-08,235.5,0.99,Prednisolone Sodium Phosphate Oral Soln 25 MG/5ML (Base Eq),237 ML,BIOCOMP PHARMA,Flo-Pred,25MG/5ML
7.0,655.84,0.0,655.84,655.84,655.84,655.84,655.84,0.0,45798,1220.38,1525.48,70954-0852-30,655.84,1.37,Levofloxacin Oral Soln 25 MG/ML,480 ML,ANI  PHARMACEUTICALS,Levaquin,25MG/ML
4.0,14.25,0.0,14.25,14.25,14.25,14.25,14.25,0.0,45980,124.9,524.8,59746-0781-05,14.25,0.03,Loperamide HCl Cap 2 MG,500,JUBILANT CADISTA,Imodium,2MG
4.0,32.25,0.0,32.25,32.25,32.25,32.25,32.25,0.0,45897,104.5,0.0,59651-0307-01,32.25,0.32,Chlorzoxazone Tab 750 MG,100,AUROBINDO PHARMA,Lorzone,750MG
7.0,1.8499999999999999,2.398355846665908e-16,1.85,1.85,1.85,1.85,1.85,0.0,45900,9.6,181.53,59651-0021-30,1.85,0.06,Dutasteride Cap 0.5 MG,30,AUROBINDO PHARMA,Avodart,0.5MG
7.0,248.75,0.0,248.75,248.75,248.75,248.75,248.75,0.0,45797,513.64,642.05,70954-0852-20,248.75,1.24,Levofloxacin Oral Soln 25 MG/ML,200 ML,ANI  PHARMACEUTICALS,Levaquin,25MG/ML
7.0,3.9499999999999997,4.796711693331816e-16,3.95,3.95,3.95,3.95,3.95,0.0,45945,3.75,4.5,57896-0251-01,3.95,0.04,Pain Relief Extra Strength 500 MG,100,GERI-CARE,Acetaminophen,500MG
7.0,1.3499999999999999,2.398355846665908e-16,1.35,1.35,1.35,1.35,1.35,0.0,45957,2.34,2.81,57896-0865-01,1.35,0.01,Zinc Sulfate Tab 220 MG (50 MG Zinc Equivalent),100,GERI-CARE,"Orazinc, Zinc-220",220 (50 Zn)MG
7.0,7.060000000000001,9.593423386663633e-16,7.0600000000000005,7.0600000000000005,7.0600000000000005,7.0600000000000005,7.0600000000000005,0.0,45958,6.15,7.69,50804-0700-01,7.0600000000000005,0.24,GoodSense Lubricating Plus PF 0.5 %,30,GEISS DESTIN & DUNN,Refresh Plus Lubricant Eye Drops,0.5%
7.0,13.950000000000001,1.9186846773327266e-15,13.95,13.95,13.95,13.95,13.95,0.0,45959,17.99,21.59,57896-0941-10,13.95,0.01,Ibuprofen Tab 200 MG,1000,GERI-CARE,Motrin,200MG
7.0,59.980000000000004,7.674738709330906e-15,59.98,59.98,59.98,59.98,59.98,0.0,45820,243.75,292.5,44523-0801-08,59.98,0.26,Urea Cream 39%,227 GM,BIOCOMP PHARMA,Rea-Lo,39%
4.0,126.62,0.0,126.62,126.62,126.62,126.62,126.62,0.0,45978,180.0,0.0,31722-0029-32,126.62,4.22,Deferasirox Granules Packet 90 MG,30,CAMBER PHARMACEUTICALS,Jadenu,90MG
7.0,0.9900000000000001,1.199177923332954e-16,0.99,0.99,0.99,0.99,0.99,0.0,45794,10.8,37.75,00143-9982-50,0.99,0.02,Amoxicillin  K Clavulanate For Susp 400-57 MG/5ML,50 ML,HIKMA PHARMACEUTICALS USA,Augmentin,400-57MG/5ML
7.0,392.42999999999995,6.139790967464725e-14,392.43,392.43,392.43,392.43,392.43,0.0,45871,512.31,640.39,00115-1745-01,392.43,3.92,Metaxalone Tab 400 MG,100,AMNEAL PHARMACEUTICALS,Skelaxin,400MG
7.0,5.89,0.0,5.89,5.89,5.89,5.89,5.89,0.0,46187,11.45,391.5,69584-0843-10,5.89,0.06,Sotalol HCl Tab 160 MG,100,OXFORD PHARMACEUTICALS,Betapace,160MG
7.0,0.8899999999999999,1.199177923332954e-16,0.89,0.89,0.89,0.89,0.89,0.0,46044,13.18,16.48,00054-4742-25,0.89,0.01,Prednisone Tab 2.5 MG,100,HIKMA PHARMACEUTICALS USA,Deltasone,2.5MG
7.0,7.950000000000001,9.593423386663633e-16,7.95,7.95,7.95,7.95,7.95,0.0,46446,58.0,990.0,23155-0878-10,7.95,0.01,Lisinopril Tab 10 MG,1000,AVET PHARMACEUTICALS,Zestril,10MG
7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,46459,18.09,22.61,00054-9828-25,1.0,0.01,Prednisone Tab 5 MG,100,HIKMA PHARMACEUTICALS USA,Deltasone,5MG
7.0,5.97,0.0,5.97,5.97,5.97,5.97,5.97,0.0,46460,99.12,118.94,00054-4184-25,5.97,0.06,Dexamethasone Tab 4 MG,100,HIKMA PHARMACEUTICALS USA,Decadron,4MG
3.0,2.16,0.0,2.16,2.16,2.16,2.16,2.16,0.0,46461,7.0,8.4,23155-0749-01,2.16,0.02,Benazepril HCl Tab 5 MG,100,AVET PHARMACEUTICALS,Lotensin,5MG
7.0,26.800000000000004,3.837369354665453e-15,26.8,26.8,26.8,26.8,26.8,0.0,46463,184.5,500.57,00054-0748-31,26.8,0.03,Dicyclomine HCl Cap 10 MG,1000,HIKMA PHARMACEUTICALS USA,Bentyl,10MG
3.0,2.85,0.0,2.85,2.85,2.85,2.85,2.85,0.0,46464,8.5,10.2,23155-0750-01,2.85,0.03,Benazepril HCl Tab 10 MG,100,AVET PHARMACEUTICALS,Lotensin,10MG
7.0,33.94,0.0,33.94,33.94,33.94,33.94,33.94,0.0,46466,110.74,738.78,00143-9836-10,33.94,0.03,Penicillin V Potassium Tab 500 MG,1000,HIKMA PHARMACEUTICALS USA,Pen Vee K,500MG
7.0,2.6699999999999995,4.796711693331816e-16,2.67,2.67,2.67,2.67,2.67,0.0,46467,12.82,131.1,00054-4301-25,2.67,0.03,Furosemide Tab 80 MG,100,HIKMA PHARMACEUTICALS USA,Lasix,80MG
3.0,20.71,0.0,20.71,20.71,20.71,20.71,20.71,0.0,46468,58.75,70.5,23155-0751-05,20.71,0.04,Benazepril HCl Tab 20 MG,500,AVET PHARMACEUTICALS,Lotensin,20MG
3.0,6.3500000000000005,0.0,6.3500000000000005,6.3500000000000005,6.3500000000000005,6.3500000000000005,6.3500000000000005,0.0,46469,15.75,18.9,23155-0752-01,6.3500000000000005,0.06,Benazepril HCl Tab 40 MG,100,AVET PHARMACEUTICALS,Lotensin,40MG
3.0,13.42,0.0,13.42,13.42,13.42,13.42,13.42,0.0,46471,42.5,51.0,23155-0750-05,13.42,0.03,Benazepril HCl Tab 10 MG,500,AVET PHARMACEUTICALS,Lotensin,10MG
3.0,4.25,0.0,4.25,4.25,4.25,4.25,4.25,0.0,46472,11.75,14.1,23155-0751-01,4.25,0.04,Benazepril HCl Tab 20 MG,100,AVET PHARMACEUTICALS,Lotensin,20MG
7.0,101.25,0.0,101.25,101.25,101.25,101.25,101.25,0.0,46504,302.16,377.52,47335-0992-01,101.25,2.02,Magnesium Sulfate IV Soln 2 GM/50ML (40 MG/ML),50 ML X 24,SUN PHARMACEUTICALS,Uro-Mag,2GM/50ML
7.0,0.9500000000000001,1.199177923332954e-16,0.95,0.95,0.95,0.95,0.95,0.0,46507,19.89,24.86,70069-0814-90,0.95,0.01,Esomeprazole Magnesium Cap Delayed Release 20 MG (Base Eq),90,SOMERSET THERAPEUTICS,Nexium,20MG
7.0,1.2,0.0,1.2,1.2,1.2,1.2,1.2,0.0,46508,8.0,0.0,29300-0127-13,1.2,0.04,Bisoprolol Fumarate Tab 10 MG,30,UNICHEM PHARMACEUTICALS,Zebeta,10MG
3.0,0.9899999999999999,1.3597399555105182e-16,0.99,0.99,0.99,0.99,0.99,0.0,46509,8.0,0.0,29300-0286-13,0.99,0.03,Tadalafil Tab 2.5 MG,30,UNICHEM PHARMACEUTICALS,Cialis,2.5MG
4.0,270.0,0.0,270.0,270.0,270.0,270.0,270.0,0.0,46512,859.87,1031.84,67457-0887-01,270.0,270.0,Medroxyprogesterone Acetate IM Susp 150 MG/ML,1 ML X 25,XIROMED,Depo-Provera,150MG/ML
7.0,4.759999999999999,9.593423386663633e-16,4.76,4.76,4.76,4.76,4.76,0.0,46518,8.8,11.0,00574-0521-25,4.76,0.07,Actidose-Aqua 15 GM/72ML,72 ML,PADAGIS,Activated Charcoal,15GM/72ML
7.0,1.0600000000000003,2.398355846665908e-16,1.06,1.06,1.06,1.06,1.06,0.0,46520,2.45,5.25,45802-0060-03,1.06,0.04,Bacitracin Oint 500 Unit/GM,28 GM,PADAGIS,Bacitraycin Plus,500UNIT/GM
